お入りください,間入る,1
お座り下さい,間,1
お座りください,間,1
腰かけてください,間,1
担当,よろしくお願いします自己紹介,1
申します,よろしくお願いします自己紹介,1
お待ち,わかりました待つ,1
お待ちください,わかりました待つ,1
名前,葛飾サヤです,1
フルネーム,葛飾サヤです,1
おいくつ,32歳です,1
年齢,32歳です,1
お歳,32歳です,1
何歳,32歳です,1
どうなさいました,めまいがするんです,1
どうしました,めまいがするんです,1
どうされました,めまいがするんです,1
どういったことで,めまいがするんです,1
どのようなことで,めまいがするんです,1
どちらが辛い,今は楽,1
辛くなったら,間辛いですね,1
辛いです,間辛いですね,1
話を続ける,はい言葉がけ,1
どんな感じ,ぐるぐる,1
どういった感じ,ぐるぐる,1
ぐるぐる,ぐるぐる,1
ふわふわ,ぐるぐる,1
どのように考えて,父が以前,1
お考え,父が以前,1
思い当たる,父が以前,1
気にな,父が以前,1
不安,父が以前,1
心配,父が以前,1
病気じゃないか,父が以前,1
どんなふう,ぐるぐる,1
どれくらい辛い,横になりたい,1
どれくらいつらい,横になりたい,1
どのくらいつらい,横になりたい,1
どのくらい辛い,横になりたい,1
頻繁に,めまいは初めて,1
以前から,めまいは初めて,1
大丈夫で,はい、なんとか,1
大丈夫そう,はい、なんとか,1
支障が出ます,何もしたくない,1
支障は出ます,何もしたくない,1
いつごろ,今朝の五時,1
いつ頃,今朝の五時,1
いつから,今朝の五時,1
始まりました,今朝の五時,1
血のつなが,姉めまい,1
血がつなが,姉めまい,1
血の繋が,姉めまい,1
血が繋が,姉めまい,1
入院,小二,1
手術,小二,1
大きな病気,小二,1
大きな御病気,小二,1
大きなご病気,小二,1
ストレス,ストレス,1
大きな,小二,1
きっかけ,きっかけ,1
続く,半日以上,1
続き,半日以上,1
現在も,同じ感じで,1
今も,同じ感じで,1
続いて,何時間も,1
続いています,何時間も,1
どのくらい続きますか,半日以上,1
悪くなったり,動くと悪く,1
よくなったり,横になると,1
良くなったり,横になると,1
良くなる,横になると,1
よくなる,横になると,1
悪くなる,動くと悪く,1
悪化,動くと悪く,1
ひどくな,動くと悪く,1
強くな,動くと悪く,1
悪くなります,頭や姿勢,1
重くな,頭や姿勢,1
よくなります,横になると,1
良くなります,横になると,1
弱くな,横になると,1
軽くな,横になると,1
楽,横になると,1
同時に,吐き気,2
めまい以外,吐き気,2
狭い以外,吐き気,2
今井以外,吐き気,2
吐き気,吐き気,2
吐いて,吐いてない,1
心配事,耳,2
ほかにはなにか,耳,2
他には何か,耳,2
耳が,耳,2
耳鳴り,耳鳴り,2
立ちくらみ,ありません,1
貧血,ありません,1
頭痛,なんだか頭,2
痛み,ありません,1
回らな,ありません,2
廻らな,ありません,2
しびれ,ありません,2
痺れ,ありません,2
しゃべりにくい,ありません,2
なにかされました,特に何も,1
何かされました,特に何も,1
アレルギー,花粉症他なし,1
薬は,いいえ病院薬,1
薬とか,いいえ病院薬,1
薬を,いいえ病院薬,1
お医者さん,いいえ病院薬,1
病院に,いいえ病院薬,1
体重,変わりません体重,1
食事,変わりません食事,1
食欲,変わりません食事,1
便秘,ありません便通,1
下痢,ありません便通,1
便通,変わりません便通,1
ベンツ,変わりません便通,1
お通じ,変わりません便通,1
順調,月経,1
妊娠,妊娠,1
眠れ,はい眠り,1
睡眠,はい眠り,1
熱,ありません,1
治療している病気,ありません,1
健康診断,健康診断,1
結果,問題ない,1
両親,父は,1
健在,父は,1
父,父は,1
母,父は,1
一緒に,主人,1
一緒に住んでいる,主人,1
一緒に住,主人,1
一緒にお住まい,主人,1
同居,主人,1
ご家族,ご家族,1
タバコ,たばこ,1
たばこ,たばこ,1
お酒,お酒,1
飲んでる薬,ありません,1
飲んでいる薬,ありません,1
飲んでるお薬,ありません,1
飲んでいるお薬,ありません,1
通院,ありません,1
治療中,ありません,1
海外に,ハワイ,1
海外旅行,ハワイ,1
ペット,飼っていません,1
どのような生活,平日は,1
職業,設計会社,1
仕事はなにを,設計会社,1
仕事は何を,設計会社,1
仕事をしていらっしゃいます,設計会社,1
仕事をされてます,設計会社,1
仕事をしてらっしゃいます,設計会社,1
仕事はされて,設計会社,1
お忙しいです,知り合いの会社なので,1
疲れる,ストレス,1
希望,頭の検査,1
質問,ありません質問,1
終わり,ありがとう終わり,1
終了,ありがとう終わり,1
以上,ありがとう終わり,1
お大事に,間言葉がけ,1
どのよう,ぐるぐる,1
おっしゃってくだ,はい言葉がけ,1
いつでも教えて,はい言葉がけ,1
付け加え,ありません質問,1
つけくわえ,ありません質問,1
まとめ,間まとめ,1
病気,小二,1
今までの,間まとめ,0
今まで,めまいは初めて,2
同じような症状,姉めまい,1
同じように,姉めまい,1
初めて,めまいは初めて,2
はじめて,めまいは初めて,2
詳しく,詳しい,1
よろしいで,はい了承,1
プライベート,間言葉がけ,1
他出,耳,2
ほかで,耳,2
他で,耳,2
ほかの,耳,2
他の,耳,2
ほかに,耳,2
他に,耳,2
よろしいでしょう,はい了承,1
よろしいです,はい了承,1
伺,間了承,1
こんにちは,こんにちは,0
おはよう,おはようございます,0
